"mois","categorie_vehicule","nombre_courses"
"2024-09-01 00:00:00+00","Confort","21"
"2024-10-01 00:00:00+00","Berline","14"
"2024-11-01 00:00:00+00","UberXL","2"
"2024-12-01 00:00:00+00","Berline","28"
"2024-12-01 00:00:00+00","Confort","21"
"2024-12-01 00:00:00+00","Green","57"
"2024-12-01 00:00:00+00","UberVan","4"
"2024-12-01 00:00:00+00","UberX","42"
"2024-12-01 00:00:00+00","UberXL","6"
"2025-01-01 00:00:00+00","Confort","21"
"2025-01-01 00:00:00+00","UberVan","4"
